604, 61, 603, 23, 712, 22, 713, 60
22, 160, 21, 71, 424, 66, 425, 155
602, 113, 602, 76, 712, 76, 712, 113
583, 168, 583, 130, 712, 130, 712, 168
287, 191, 287, 159, 483, 156, 483, 188
23, 205, 23, 171, 101, 171, 101, 205
209, 205, 101, 202, 102, 171, 209, 173
209, 203, 209, 174, 308, 173, 308, 202
263, 302, 263, 266, 376, 266, 376, 302
372, 303, 372, 268, 519, 266, 520, 301
316, 358, 316, 319, 367, 319, 367, 358
366, 357, 366, 319, 415, 319, 415, 357
297, 372, 257, 371, 259, 319, 299, 320
430, 357, 430, 319, 475, 319, 475, 357
485, 360, 485, 320, 528, 320, 528, 360
261, 416, 261, 371, 308, 371, 308, 416
528, 417, 484, 414, 487, 371, 530, 373
316, 417, 316, 374, 477, 374, 477, 417
263, 472, 263, 437, 537, 437, 537, 472
151, 620, 130, 567, 244, 524, 264, 577
32, 775, 32, 714, 325, 714, 325, 775
420, 755, 420, 731, 521, 731, 521, 755
536, 788, 536, 731, 777, 731, 777, 788
417, 787, 417, 760, 526, 760, 526, 787
