656, 50, 656, 5, 747, 5, 747, 50
320, 50, 320, 17, 446, 17, 446, 50
131, 55, 131, 16, 259, 16, 259, 55
11, 55, 11, 18, 130, 18, 130, 55
656, 98, 656, 53, 748, 52, 749, 97
10, 155, 10, 89, 628, 89, 628, 155
34, 214, 34, 168, 411, 167, 411, 213
42, 281, 42, 242, 161, 242, 161, 281
168, 278, 168, 244, 198, 244, 198, 278
50, 385, 50, 303, 191, 303, 191, 385
458, 343, 457, 319, 589, 317, 589, 340
583, 612, 581, 595, 629, 589, 631, 606
670, 657, 670, 640, 752, 640, 752, 657
654, 717, 653, 667, 768, 665, 768, 716
669, 742, 669, 725, 752, 725, 752, 742
