777, 118, 633, 30, 653, -1, 797, 86
20, 144, 19, 50, 406, 48, 406, 142
239, 203, 239, 161, 373, 161, 373, 203
17, 204, 17, 160, 209, 160, 209, 204
316, 231, 243, 229, 243, 216, 316, 218
27, 230, 27, 217, 244, 217, 244, 230
196, 250, 29, 249, 29, 237, 196, 238
741, 278, 703, 272, 707, 252, 744, 258
295, 330, 14, 329, 14, 271, 295, 272
25, 555, 25, 532, 175, 532, 175, 555
21, 690, 21, 655, 127, 655, 127, 690
520, 707, 520, 654, 750, 654, 750, 707
29, 708, 29, 696, 124, 696, 124, 708
520, 788, 520, 717, 767, 717, 767, 788
25, 789, 25, 738, 125, 738, 125, 789
133, 795, 133, 770, 157, 770, 157, 795
