42, 77, 40, 41, 112, 35, 115, 72
589, 118, 582, 46, 782, 27, 788, 99
48, 122, 44, 87, 119, 79, 122, 114
688, 121, 688, 94, 770, 94, 770, 121
470, 164, 468, 86, 624, 84, 626, 161
58, 152, 53, 129, 119, 116, 124, 139
779, 283, 416, 282, 416, 213, 779, 214
500, 342, 500, 308, 746, 307, 746, 341
719, 517, 517, 510, 519, 449, 721, 456
565, 562, 565, 535, 678, 535, 678, 562
524, 594, 524, 568, 724, 568, 724, 594
254, 671, 254, 646, 349, 646, 349, 671
556, 688, 556, 650, 635, 650, 635, 688
559, 702, 558, 687, 633, 685, 633, 700
17, 765, 17, 712, 399, 712, 399, 765
