110, 47, 24, 46, 25, 10, 111, 12
778, 87, 369, 86, 369, 28, 778, 29
109, 64, 24, 63, 25, 46, 109, 47
40, 127, 40, 100, 100, 100, 100, 127
602, 135, 602, 100, 780, 100, 780, 135
454, 135, 454, 100, 595, 100, 595, 135
111, 161, 39, 159, 40, 124, 112, 126
570, 182, 570, 146, 781, 146, 781, 182
670, 208, 670, 195, 780, 195, 780, 208
597, 209, 597, 196, 670, 196, 670, 209
340, 309, 337, 294, 417, 278, 420, 292
574, 390, 573, 342, 769, 341, 770, 389
786, 459, 671, 457, 672, 409, 787, 411
666, 457, 560, 456, 560, 428, 666, 429
602, 502, 602, 467, 741, 467, 741, 502
731, 656, 731, 621, 768, 621, 768, 656
179, 674, 96, 669, 98, 634, 181, 638
185, 719, 82, 710, 85, 676, 188, 684
